Word,English,Sentiment,Sentiment Num
abang,brother,neutral,0
abt,about,neutral,0
agak,roughly,neutral,0
agar-agar,estimate,neutral,0
agaration,estimation,neutral,0
ah,oh,neutral,0
ah beng,brother,neutral,0
ah lian,sister,neutral,0
ah pek,uncle,neutral,0
ah soh,elderly woman,neutral,0
amacam,how,neutral,0
ang moh,westerner,neutral,0
angkat,carry,neutral,0
angkat bola,carry balls,neutral,0
angpow,gift money,neutral,0
anyhow whack,guess,neutral,0
ar,really,neutral,0
arbuthen,obviously,neutral,0
arrow,delegate,neutral,0
atas,posh,neutral,0
attend B,medical man,neutral,0
auntie,lady,neutral,0
balek,return,neutral,0
balukoo,bruise,neutral,0
banana money,old currency,neutral,0
barang-barang,stuff,neutral,0
basha,tent,neutral,0
belanja,spend,neutral,0
bludder,bro,neutral,0
bo peng yau si,hungry,neutral,0
bogay,toothless,neutral,0
boh,without,neutral,0
boleh,can,neutral,0
botak,bald,neutral,0
btw,by the way,neutral,0
buay tahan,cant take it,neutral,0
bucks,dollars,neutral,0
cabut,escape,neutral,0
changkul,spade,neutral,0
cheem,complicated,neutral,0
cheemology,complicated,neutral,0
cheena,chinese,neutral,0
cheh,i see,neutral,0
chia bo liau,cannot finish,neutral,0
chim,complicated,neutral,0
chop,confirm,neutral,0
chop-chop kali pok,hurry,neutral,0
chope,reserve,neutral,0
choy,I see,neutral,0
chum,finished,neutral,0
chuppie,Chinese-educated,neutral,0
cina,Chinese,neutral,0
cincaluk,minced,neutral,0
cmon,come on,neutral,0
cock,penis,neutral,0
cock stand,erection,neutral,0
coo coo cheow,penis,neutral,0
deh,hey brother,neutral,0
ding dong,testicles,neutral,0
duku,langsat,neutral,0
duku-langsat,langsat,neutral,0
fkin,very,neutral,0
gahmen,government,neutral,0
gao ding,settle,neutral,0
garmen,government,neutral,0
gong gong,grandfather,neutral,0
goreng,fried,neutral,0
goreng pisang,fried banana,neutral,0
gula melaka,sugar,neutral,0
habis,finish,neutral,0
hah,what,neutral,0
hantam,see what sticks,neutral,0
Hari Raya Haji,Eid al-Adha,neutral,0
Hari Raya Puasa,Eid al-Fitr,neutral,0
hati babi,pork liver,neutral,0
heartlander,someone who lives Housing Development Board(HDB) house in Singapore,neutral,0
heartware,emotional attachment to something,neutral,0
hell money,paper money that is burnt during funerals,neutral,0
hentam,see what sticks,neutral,0
hentam bola,a game where you throw a ball at someone running,neutral,0
heow,sexy,neutral,0
hiao,sexy,neutral,0
hiau,sexy,neutral,0
ho say,finished,neutral,0
hongbao,free money,neutral,0
hor,right,neutral,0
huat kueh,pastry,neutral,0
izit,is it,neutral,0
jaga,guard,neutral,0
jalan,walk,neutral,0
jalan-jalan,leisure walking,neutral,0
jb,johor,neutral,0
jc,junior college,neutral,0
jio,invite,neutral,0
ka ki nang,kin,neutral,0
kaki,leg,neutral,0
kalang kabok,rush,neutral,0
kalang kabut,rush,neutral,0
kali pok,curry puff,neutral,0
kampung,village,neutral,0
kancheong,haste,neutral,0
kang he kia,small river fish,neutral,0
kang tao,one's connections,neutral,0
kangkong,water spinach,neutral,0
karang guni,rubbish collector,neutral,0
karung guni,rubbish collector,neutral,0
karung guni man,rubbish collector,neutral,0
katek,short,neutral,0
katik,short,neutral,0
kau kay tzee,descendants,neutral,0
kay kay,fake,neutral,0
kay kiang,not true,neutral,0
kayu,wood,neutral,0
kelam kabut,rush,neutral,0
kena,got,negative,0
kentang,potato,neutral,0
keoh teoh,to pick up,neutral,0
ketok,knock,neutral,0
khoon,to sleep,neutral,0
kiam chye,salty,neutral,0
kiao kar,while away the time,neutral,0
kin,hurry,neutral,0
kuah lang,person,neutral,0
kucing kurap,small,neutral,0
kwai,good,neutral,0
lagi,more,neutral,0
lan,penis,neutral,0
lan cheow,penis,neutral,0
langgar,collision,neutral,0
lao jiao,experienced,neutral,0
lau jiao,experienced,neutral,0
leh,right,neutral,0
lelong,sale,neutral,0
lemak,fat,neutral,0
lepak,relax,neutral,0
liao,already,neutral,0
limpeh,i,neutral,0
lobang,deal,neutral,0
long chiam pas,a game,neutral,0
longkang,drain,neutral,0
lor,obviously,neutral,0
m.c,break,neutral,0
malu,shy,neutral,0
