,Sentiment,Sentiment Num,Multi,Text,Text-original,Text_with_fullstop,Polarities Found,Polarity Count,Sarcasm?,Adversative Polarity,Adversative Present?,Polarity Count-after Adversative,Emoji Score,Polarity Count-multi
0,Positive,1,1,"the rock is destined to be the 21st century is new `` conan  and that he is going to make a splash even greater than arnold schwarzenegger , jean-claudvandamme or steven segal ."," The  Rock    is   destined      to   be   the   21st    Century  's   new   ``  Conan  ''  and   that   he   's   going   to    make    a  splash   even  greater   than       Arnold  Schwarzenegger  ,   Jean-ClaudVanDamme  or   Steven  Segal  .","the rock is destined to be the 21st century is new `` conan  and that he is going to make a splash even greater than arnold schwarzenegger , jean-claudvandamme or steven segal .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,2
1,Positive,1,2,the gorgeously elaborate continuation of `` the lord of the rings  trilogy is so huge that a column of words can not adequately describe co-writer\/director peter jackson isexpanded vision of j .r .r . tolkien is middle-earth .,  The   gorgeously   elaborate  continuation    of  ``   The    Lord   of   the  Rings   ''  trilogy     is   so  huge   that     a  column   of  words     can  not  adequately   describe     co-writer\/director   Peter   Jackson  'sexpanded  vision   of    J.R.R.   Tolkien  's  Middle-earth  .,the gorgeously elaborate continuation of `` the lord of the rings  trilogy is so huge that a column of words can not adequately describe co-writer\/director peter jackson isexpanded vision of j .r .r . tolkien is middle-earth .,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,-1,1,0,-1,0,-2
2,Positive,1,1,"singer\/composer bryan adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .","     Singer\/composer   Bryan  Adams   contributes    a  slew   of  songs   --     a   few  potential    hits  ,    a  few    more   simply  intrusive   to   the  story  --  but    the   whole  package   certainly captures  the   intended   ,   er  ,  spirit   of   the  piece  .","singer\/composer bryan adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .","[0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, (1, -7), 0, 0, 0, 0]",-1,-1,1,1,1,0,1
3,Neutral,0,0,you had think by now america slightly negative had enough of plucky british eccentrics with hearts of gold ., You   'd   think   by  now   America    would   have    had   enough   of   plucky   British  eccentrics   with   hearts   of  gold  .,you had think by now america slightly negative had enough of plucky british eccentrics with hearts of gold .,"[0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",-1,-1,1,0,-1,0,-1
4,Positive,1,1,yet the act is still charming here .,Yet    the  act     is   still  charming  here  .,yet the act is still charming here .,"[8, 0, 0, 0, 0, 1, 0, 0]",1,0,1,1,1,0,1
5,Positive,1,2,"whether or not you are enlightened by any of derrida is lectures on `` the other  and `` the self ,  derrida is an undeniably fascinating and playfulfellow ."," Whether     or  not   you   're   enlightened   by   any   of   Derrida  's   lectures   on   ``       the  other  ''  and  ``   the  self   ,   ''   Derrida    is   an    undeniably    fascinating  and  playfulfellow.","whether or not you are enlightened by any of derrida is lectures on `` the other  and `` the self ,  derrida is an undeniably fascinating and playfulfellow .","[0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",-1,-1,1,0,-1,0,-1
6,Positive,1,2,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,  Just   the  labour   involved   in   creating    the   layered  richness   of    the  imagery   in    this  chiaroscuro   of    madness  and  light    is  astonishing  .,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, (1, -7), 0]",-1,0,-1,0,-1,0,-1
7,Positive,1,1,part of the charm of satin rouge is that it avoids the obvious with humour and lightness ., Part   of    the  charm   of   Satin  Rouge    is   that   it    avoids   the  obvious   with    humour  and  lightness  .,part of the charm of satin rouge is that it avoids the obvious with humour and lightness .,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1,0,1,0,1,0,1
8,Positive,1,2,a screenplay more ingeniously constructed than `` memento , a   screenplay  more   ingeniously   constructed     than  ``  Memento  '',a screenplay more ingeniously constructed than `` memento ,"[0, 0, 0, 1, 0, 0, 0, 0]",1,0,1,0,1,0,2
9,Positive,1,1,`` extreme ops  exceeds expectations .,``    Extreme  Ops   ''    exceeds  expectations  .,`` extreme ops  exceeds expectations .,"[0, 0, 0, 1, 0, 0]",1,0,1,0,1,0,2
