,Sentiment,Sentiment Num,Multi,Text,Text-original,Text_with_fullstop,Polarities Found,Polarity Count,Sarcasm?,Adversative Polarity,Adversative Present?,Polarity Count-after Adversative,Emoji Score,Polarity Count-multi
0,Positive,1,2,you are so good, you  are  so good,you are so good,"[0, 0, 0, 1]",1,0,1,0,1,0,2
1,Negative,1,2,"he cloth is amazing , there is no shopping here to buy one"," He cloth is amazing, there is no shopping here to buy one","he cloth is amazing , there is no shopping here to buy one","[0, 0, 0, 1, 0, 0, 0, 11, 0, 0, 0, 0, 0]",-1,-1,1,0,-1,0,-2
2,Positive,1,2,"haha this meeting very interesting , i will not be there","haha this meeting very interesting, I will not be there","haha this meeting very interesting , i will not be there","[1, 0, 0, 0, 1, 0, 0, 0, 11, 0, 0]",-1,-1,1,0,-1,0,-2
3,Negative,-1,-2,"it is really terrified , i do not wan to remember it .","it is really terrified, i do not wan to remember it .","it is really terrified , i do not wan to remember it .","[0, 0, 0, -1, 0, 0, 0, 11, 0, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-2
4,Negative,-1,-1,"itis just plain sad , therefore i will not go to city today .","itis just plain sad , therefore i will not go to city today .","itis just plain sad , therefore i will not go to city today .","[0, 0, 0, -1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-1
5,Positive,1,1,"thank you uncle , it is perfect , i cannot ask more !","thank you uncle , it is perfect , i cannot ask more !","thank you uncle , it is perfect , i cannot ask more !","[1, 0, 0, 0, 0, 0, (1, -7), 0, 0, 11, 0, 0, 0]",-1,-1,1,0,-1,0,-2
6,Positive,1,1,"thanks smrt remind me the logo , amazingly , i never forget it","thanks smrt remind me the logo , amazingly,  i never forget it","thanks smrt remind me the logo , amazingly , i never forget it","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 11, 0, 0]",-1,-1,1,0,-1,0,-2
7,Negative,-1,-1,"in the morning i lost my phone , worst for me . i have not find it till now .","in the morning i lost my phone , worst for me. i have not find it till now .","in the morning i lost my phone , worst for me . i have not find it till now .","[0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0]",-1,0,-1,0,-1,0,-2
8,Negative,-1,-1,"seriously , picture might being edited , not see it","seriously, picture might being edited, not see it","seriously , picture might being edited , not see it","[-1, 0, 0, 0, 0, 0, 0, 11, 0, 0]",-1,0,-1,0,-1,0,-1
9,Negative,-1,-1,"it is utterly sad , isnot it","it is utterly sad , isnot it","it is utterly sad , isnot it","[0, 0, -1, -1, 0, 11, 0]",-1,0,-1,0,-1,0,-2
