,Sentiment,Sentiment Num,Multi,Text,Text-original,Text_with_fullstop,Polarities Found,Polarity Count,Sarcasm?,Adversative Polarity,Adversative Present?,Polarity Count-after Adversative,Emoji Score,Polarity Count-multi
0,Neutral,0,0,effective but too-tepid biopic, Effective  but   too-tepid  biopic,effective but too-tepid biopic,"[1, 8, -1, 0]",-1,-1,-1,1,-1,0,-1
1,Positive,1,1,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start ."," If   you   sometimes   like   to    go   to   the  movies   to   have  fun   ,   Wasabi    is   a   good   place   to  start  .","if you sometimes like to go to the movies to have fun , wasabi is a good place to start .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,0,1,0,1,0,1
2,Positive,1,2,"emerges as something rare , an issue movie that is so honest and keenly observed that it does not feel like one .","   Emerges   as   something  rare  ,    an   issue  movie   that    's     so  honest  and   keenly  observed   that   it    does  n't   feel   like  one  .","emerges as something rare , an issue movie that is so honest and keenly observed that it does not feel like one .","[0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0]",-1,-1,1,0,-1,0,-1
3,Neutral,0,0,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game ., The  film     provides   some   great  insight   into    the   neurotic  mindset   of      all  comics  --  even   those   who   have   reached    the   absolute  top   of   the  game  .,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,"[0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",-1,-1,1,0,-1,0,-2
4,Positive,1,2,offers that rare combination of entertainment and education ., Offers    that   rare  combination   of    entertainment  and  education  .,offers that rare combination of entertainment and education .,"[1, 0, 0, 0, 1, 0, 0, 0]",1,0,1,0,1,0,1
5,Positive,1,1,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,Perhaps     no  picture   ever  made     has   more  literally   showed   that     the  road   to  hell   is   paved   with   good  intentions  .,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,"[0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0]",-1,-1,-1,0,-1,0,-2
6,Positive,1,1,steers turns in a snappy screenplay that curls at the edges ; it is so clever you want to hate it .,   Steers   turns   in    a   snappy  screenplay   that   curls   at   the  edges  ;   it   's   so   clever   you   want   to   hate  it  .,steers turns in a snappy screenplay that curls at the edges ; it is so clever you want to hate it .,"[0, 0, 0, 0, (1, -7), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, (-1, -7), 0, 0]",1,0,1,0,1,0,2
7,Positive,1,1,but he somehow pulls it off .,But   he   somehow     pulls  it  off  .,but he somehow pulls it off .,"[8, 0, 0, 0, 0, 0, 0]",0,0,0,1,0,0,0
8,Positive,1,1,take care of my cat offers a refreshingly different slice of asian cinema .,  Take  Care   of   My  Cat    offers    a    refreshingly  different  slice   of   Asian  cinema  .,take care of my cat offers a refreshingly different slice of asian cinema .,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1
9,Positive,1,2,"this is a film well worth seeing , talking and singing heads and all .","This      is    a  film  well  worth       seeing  ,  talking  and  singing    heads  and  all  .","this is a film well worth seeing , talking and singing heads and all .","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1
10,Positive,1,1,what really surprises about wisegirls is its low-key quality and genuine tenderness .,What   really    surprises   about  Wisegirls    is     its   low-key  quality  and   genuine  tenderness  .,what really surprises about wisegirls is its low-key quality and genuine tenderness .,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0]",-1,-1,-1,0,-1,0,-2
11,Positive,1,1,,#NAME?,,[0],-1,0,0,0,-1,0,-2
12,Positive,1,2,"one of the greatest family-oriented , fantasy-adventure movies ever .","  One   of     the   greatest  family-oriented  ,   fantasy-adventure  movies  ever  .","one of the greatest family-oriented , fantasy-adventure movies ever .","[0, 0, 0, (1, -7), 0, 0, 0, 0, 0, 0]",1,0,1,0,1,0,2
13,Neutral,0,0,"ultimately , it ponders the reasons we need stories so much .","Ultimately   ,   it    ponders    the  reasons   we    need  stories   so  much  .","ultimately , it ponders the reasons we need stories so much .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0
