Word,English,Sentiment,Sentiment Num
abang,brother,neutral,0
act blur,ignorant,negative,-1
adoi,pain,negative,-1
agak,roughly,neutral,0
agaration,estimation,neutral,0
agar-agar,estimate,neutral,0
ah,oh,neutral,0
ah beng,brother,neutral,0
ah lian,sister,neutral,0
ah long,loan shark,negative,-1
ah pek,uncle,neutral,0
ah qua,sissy,negative,-1
ah soh,elderly woman,neutral,0
aiyah,oh no,negative,-1
aiyoh,oh no,negative,-1
alamak,oh no,negative,-1
amacam,how,neutral,0
ang moh,westerner,neutral,0
angkat,carry,neutral,0
angkat bola,carry balls,neutral,0
angpow,gift money,neutral,0
anyhow,carelessly,negative,-1
anyhow whack,guess,neutral,0
ar,really,neutral,0
arbuthen,obviously,neutral,0
arrow,delegate,neutral,0
atas,posh,neutral,0
attend B,medical man,neutral,0
attend C,sick,negative,-1
auntie,lady,neutral,0
balek,return,neutral,0
balek kampung,return home,positive,1
balls drop,shocked,negative,-1
balls shrink,scared,negative,-1
balukoo,bruise,neutral,0
banana money,old currency,neutral,0
barang-barang,stuff,neutral,0
basha,tent,neutral,0
basket,oh no,negative,-1
belanja,spend,neutral,0
blanket party,torture,negative,-1
bludder,bro,neutral,0
blur,stupid,negative,-1
act blur,pretend blur,negative,-1
blur king,frequently blur,negative,-1
blur like sotong,very blur,negative,-1
bo,without,negative,-1
bo chap,indiffierent,negative,-1
bo cheng hu,lawless,negative,-1
bo hew,groan,negative,-1
bo hua,not worth,negative,-1
bo idea,no idea,negative,-1
bo pakeh,useless,negative,-1
bo peng yau si,hungry,neutral,0
bo pian,no choice,negative,-1
bo sui,undesired,negative,-1
bobo,inaccurate,negative,-1
bodoh,stupid,negative,-1
bogay,toothless,neutral,0
boh,without,neutral,0
boleh,can,neutral,0
botak,bald,neutral,0
buay,not,negative,-1
buay song,unhappy,negative,-1
buay tahan,cant take it,neutral,0
buay zai,not smart,negative,-1
butoh,dumb,negative,-1
cabut,escape,neutral,0
catch no ball,dont understand,negative,-1
CB,f word,negative,-1
changkul,spade,neutral,0
chao,truant,negative,-1
chao chee bye,swear,negative,-1
chao keng,truant,negative,-1
cheapo,cheapskate,negative,-1
chee bye,swear,negative,-1
chee bye leaf,swear,negative,-1
cheeko,pervert,negative,-1
cheeko pek,pervert,negative,-1
cheem,complicated,neutral,0
cheemology,complicated,neutral,0
cheena,chinese,neutral,0
cheh,i see,neutral,0
chia,lets eat,positive,1
chia bo liau,cannot finish,neutral,0
chia chua,avoid work,negative,-1
chia lat,terrible,negative,-1
chim,complicated,neutral,0
chin chai,carelessly,negative,-1
chio,pretty,positive,1
chochok,poke,negative,-1
chop,confirm,neutral,0
chop-chop kali pok,hurry,neutral,0
chope,reserve,neutral,0
choy,I see,neutral,0
chum,finished,neutral,0
chuppie,Chinese-educated,neutral,0
cina,Chinese,neutral,0
cincaluk,minced,neutral,0
CMI,helpless,negative,-1
cock,penis,neutral,0
cock stand,erection,neutral,0
talk cock,nonsense,negative,-1
cock-up,mess up,negative,-1
cocok,poking,negative,-1
coo coo cheow,penis,neutral,0
deh,hey brother,neutral,0
ding dong,testicles,neutral,0
duku,langsat,neutral,0
duku-langsat,langsat,neutral,0
ee-yer,yucks,negative,-1
eye power,unhelpful,negative,-1
give face,show respect,positive,1
lose face,embarrass yourself,negative,-1
save face,protect your reputation,neutral,0
fly kite,get lost,negative,-1
gahmen,government,neutral,0
gao ding,settle,neutral,0
garang,daring,positive,1
gila,crazy,negative,-1
go fly kite,go away,negative,-1
gone case,hopeless,negative,-1
gong gong,grandfather,neutral,0
goondu,stupid,negative,-1
goreng,fried,neutral,0
goreng pisang,fried banana,neutral,0
gostan,lost,negative,-1
gu niang,weak,negative,-1
gula melaka,sugar,neutral,0
habis,finish,neutral,0
hah,what,neutral,0
hammer,beat up,negative,-1
hantam,see what sticks,neutral,0
haolian,arrogant,negative,-1
haram,prohibited,negative,-1
Hari Raya Haji,Eid al-Adha,neutral,0
Hari Raya Puasa,Eid al-Fitr,neutral,0
hati babi,pork liver,neutral,0
heartlander,someone who lives Housing Development Board(HDB) house in Singapore,neutral,0
heartware,emotional attachment to something,neutral,0
heck care,don't care,negative,-1
hell money,paper money that is burnt during funerals,neutral,0
heng,feeling grateful,positive,1
hentam,see what sticks,neutral,0
hentam bola,a game where you throw a ball at someone running,neutral,0
hentak kaki,one's promotion is stopped or delayed,negative,-1
heow,sexy,neutral,0
hiao,sexy,neutral,0
hiau,sexy,neutral,0
hilang,lost,negative,-1
ho say,finished,neutral,0
hongbao,free money,neutral,0
hor,right,neutral,0
hor miah,good life,positive,1
horrigible,awful,negative,-1
huat kueh,pastry,neutral,0
idle king,soldier who is extremely lazy,negative,-1
jaga,guard,neutral,0
jalan,walk,neutral,0
jalan-jalan,leisure walking,neutral,0
jangan tension,don't worry,positive,1
jelak,bored of a food,negative,-1
ji siao,crazy,negative,-1
jia lat,terrible,negative,-1
jio,invite,neutral,0
ka ki nang,kin,neutral,0
kacau,disturb,negative,-1
kaki,leg,neutral,0
kalang kabok,rush,neutral,0
kalang kabut,rush,neutral,0
kali pok,curry puff,neutral,0
kampung,village,neutral,0
balek kampung,go home,positive,1
kan cheong,haste,negative,-1
kan cheong spider,someone who always does things hastily,negative,-1
kan ni na,mother fucker,negative,-1
kana,got,negative,-1
kancheong,haste,neutral,0
kang he kia,small river fish,neutral,0
kang tao,one's connections,neutral,0
kangkong,water spinach,neutral,0
kentang,potato,neutral,0
kao peh kao bu,someone who complains frequently,negative,-1
karang guni,rubbish collector,neutral,0
karung guni,rubbish collector,neutral,0
karung guni man,rubbish collector,neutral,0
katek,short,neutral,0
katik,short,neutral,0
katik ayam,short person,negative,-1
kau kay tzee,descendants,neutral,0
kay kay,fake,neutral,0
kay kiang,not true,neutral,0
kaypoh,nosy,negative,-1
kayu,wood,neutral,0
kelam kabut,rush,neutral,0
kena,got,negative,-1
kena sai,trouble,negative,-1
keng,truant,negative,-1
kengster,truant,negative,-1
keoh teoh,to pick up,neutral,0
ketok,knock,neutral,0
khia-khia,fearful,negative,-1
khoon,to sleep,neutral,0
kiam chye,salty,neutral,0
kiao kar,while away the time,neutral,0
kiasi,afraid of taking risks,negative,-1
kiasi-ism,afraid of taking risks,negative,-1
kiasu,afraid of losing out,negative,-1
kiasuism,afraid of losing out,negative,-1
kiasu-ness,afraid of losing out,negative,-1
kilat,wonderful,positive,1
kin,hurry,neutral,0
koo niang,weak girl,negative,-1
kosong,empty,negative,-1
kotek,frustration,negative,-1
koyak,damaged,negative,-1
kuah lang,person,neutral,0
kuah midnight,midnight movie,negative,-1
kuai lan,disturb,negative,-1
kucing kurap,small,neutral,0
lagi,more,neutral,0
lan,penis,neutral,0
lan cheow,penis,neutral,0
lan-lan,resignation,negative,-1
langgar,collision,neutral,0
lao jiao,experienced,neutral,0
lau jiao,experienced,neutral,0
lau kwee,shameful,negative,-1
leceh,troublesome,negative,-1
leh,right,neutral,0
lelong,sale,neutral,0
lemak,fat,neutral,0
lembek,weak,negative,-1
lepak,relax,neutral,0
like nobody’s business,dont care,negative,-1
lobang,deal,neutral,0
long chiam pas,a game,neutral,0
longkang,drain,neutral,0
lor,obviously,neutral,0
lum pa,balls,negative,-1
malu,shy,neutral,0
mama shop,convenient shop,neutral,0
mati,die,negative,-1
meh,isit,neutral,0
mugger,nerd,negative,-1
mugger toad,nerd,negative,-1
neh neh,nipples,negative,-1
no spee-yak,nothing to say,neutral,0
on the ball,enthusiastic,positive,1
