,Sentiment,Sentiment Num,Multi,Prediction,Text,Correct2_A,Correct5_A,Correct2_B,Correct5_B,Correct2_C,Correct5_C,Correct2_D,Correct5_D
2,Positive,1,2,1,"   Emerges   as   something  rare  ,    an   issue  movie   that    's     so  honest  and   keenly  observed   that   it    does  n't   feel   like  one  .",yes,yes,yes,yes,yes,no,yes,yes
4,Positive,1,2,1, Offers    that   rare  combination   of    entertainment  and  education  .,yes,yes,yes,yes,no,no,yes,yes
9,Positive,1,2,1,"This      is    a  film  well  worth       seeing  ,  talking  and  singing    heads  and  all  .",yes,yes,yes,yes,yes,no,yes,yes
14,Neutral,0,0,1,Illuminating    if   overly  talky   documentary  .,yes,yes,yes,yes,yes,no,yes,yes
16,Positive,1,1,1,"  The   movie  's    ripe   ,  enrapturing  beauty    will   tempt   those   willing   to   probe   its   inscrutable  mysteries  .",yes,yes,yes,yes,yes,no,yes,yes
18,Positive,1,2,1," A    thoughtful   ,   provocative   ,   insistently  humanizing  film  .",yes,yes,yes,yes,yes,no,yes,yes
21,Positive,1,1,1,"  Not   for  everyone    ,  but    for   those   with  whom   it   will  connect   ,   it    's    a   nice  departure   from   standard   moviegoing  fare  .",yes,yes,yes,yes,yes,no,yes,yes
24,Positive,1,1,1,  An   idealistic   love  story  that     brings  out    the    latent  15-year-old  romantic   in  everyone  .,yes,yes,yes,yes,yes,no,yes,yes
28,Positive,1,2,1," Guaranteed   to   move   anyone   who   ever       shook  ,  rattled  ,  or  rolled  .",yes,yes,yes,yes,yes,no,yes,yes
29,Positive,1,2,1,"     A   masterful  film   from   a   master  filmmaker  ,   unique   in   its   deceptive  grimness  ,    compelling   in   its   fatalist  worldview  .",yes,yes,yes,yes,yes,no,yes,yes
42,Positive,1,2,1,Fuller     would  surely   have   called      this  gutsy  and   at    times  exhilarating  movie   a   great  yarn  .,yes,yes,yes,yes,yes,no,yes,yes
43,Positive,1,1,1, The  film     makes    a   strong  case   for    the  importance   of   the  musicians   in   creating   the   Motown  sound  .,yes,yes,yes,yes,yes,no,yes,yes
45,Positive,1,2,1,Gosling    provides    an   amazing  performance   that   dwarfs    everything  else   in   the  film  .,yes,yes,yes,yes,yes,no,yes,yes
51,Positive,1,1,1, Some  actors     have   so  much   charisma   that   you   'd   be   happy   to   listen   to   them   reading   the   phone  book  .,yes,yes,yes,yes,yes,no,yes,yes
54,Positive,1,1,1," Behind     the   snow  games  and    lovable   Siberian  huskies   -LRB-    plus   one   sheep  dog  -RRB-   ,    the  picture    hosts    a   parka-wrapped  dose   of  heart  .",yes,yes,yes,yes,yes,yes,no,no
61,Positive,1,1,-1, The   invincible   Werner  Herzog   is    alive   and    well  and  living   in  LA,yes,yes,yes,yes,yes,yes,no,no
65,Positive,1,2,1,"   A  taut  ,   intelligent   psychological  drama  .",yes,yes,yes,yes,yes,no,yes,yes
68,Positive,1,2,1, At  heart    the  movie    is    a   deftly   wrought   suspense  yarn   whose    richer  shadings   work   as   coloring   rather   than  substance  .,yes,yes,yes,yes,yes,no,yes,yes
