Sentiment,Sentiment Num,Multi,Text
Neutral,0,0, Effective  but   too-tepid  biopic
Positive,1,1," If   you   sometimes   like   to    go   to   the  movies   to   have  fun   ,   Wasabi    is   a   good   place   to  start  ."
Positive,1,2,"   Emerges   as   something  rare  ,    an   issue  movie   that    's     so  honest  and   keenly  observed   that   it    does  n't   feel   like  one  ."
Neutral,0,0, The  film     provides   some   great  insight   into    the   neurotic  mindset   of      all  comics  --  even   those   who   have   reached    the   absolute  top   of   the  game  .
Positive,1,2, Offers    that   rare  combination   of    entertainment  and  education  .
Positive,1,1,Perhaps     no  picture   ever  made     has   more  literally   showed   that     the  road   to  hell   is   paved   with   good  intentions  .
Positive,1,1,   Steers   turns   in    a   snappy  screenplay   that   curls   at   the  edges  ;   it   's   so   clever   you   want   to   hate  it  .
Positive,1,1,But   he   somehow     pulls  it  off  .
Positive,1,1,  Take  Care   of   My  Cat    offers    a    refreshingly  different  slice   of   Asian  cinema  .
Positive,1,2,"This      is    a  film  well  worth       seeing  ,  talking  and  singing    heads  and  all  ."
Positive,1,1,What   really    surprises   about  Wisegirls    is     its   low-key  quality  and   genuine  tenderness  .
Positive,1,1,#NAME?
Positive,1,2,"  One   of     the   greatest  family-oriented  ,   fantasy-adventure  movies  ever  ."
Neutral,0,0,"Ultimately   ,   it    ponders    the  reasons   we    need  stories   so  much  ."
Positive,1,1, An  utterly     compelling  `   who     wrote  it  '   in   which     the  reputation   of    the    most  famous  author   who   ever  lived   comes   into  question  .
Neutral,0,0,Illuminating    if   overly  talky   documentary  .
Positive,1,2,   A  masterpiece   four  years   in   the  making  .
Positive,1,1,"  The   movie  's    ripe   ,  enrapturing  beauty    will   tempt   those   willing   to   probe   its   inscrutable  mysteries  ."
Positive,1,2, Offers    a  breath   of    the   fresh  air   of   true  sophistication  .
Positive,1,2," A    thoughtful   ,   provocative   ,   insistently  humanizing  film  ."
Positive,1,2," With    a  cast   that   includes   some   of    the   top  actors   working   in   independent  film   ,     Lovely  &  Amazing     involves  us   because   it   is      so  incisive  ,  so   bleakly amusing   about   how   we   go   about   our  lives  ."
Neutral,0,0,  A     disturbing  and   frighteningly  evocative  assembly   of     imagery  and  hypnotic  music    composed   by   Philip  Glass  .
Positive,1,1,"  Not   for  everyone    ,  but    for   those   with  whom   it   will  connect   ,   it    's    a   nice  departure   from   standard   moviegoing  fare  ."
Positive,1,1,  Scores   a   few  points   for   doing   what   it   does   with   a     dedicated  and  good-hearted  professionalism  .
Positive,1,1," Occasionally  melodramatic   ,   it     's  also   extremely  effective  ."
