Word,Sentiment,Sentiment Num
abused,negative,-1
accelerating,negative,-1
accident,negative,-1
assaulting,negative,-1
breakdown,negative,-1
broke,negative,-1
bus,neutral,0
busy,negative,-1
cabby,neutral,0
cancelled,negative,-1
collides,negative,-1
comfort,positive,1
comfortdelgro,neutral,0
complain,negative,-1
complained,negative,-1
complains,negative,-1
concerns,negative,-1
concession,positive,1
confusing,negative,-1
corrupt,negative,-1
crash,negative,-1
crashes,negative,-1
criticise,negative,-1
criticises,negative,-1
crowded,negative,-1
deducted ,negative,-1
delay,negative,-1
discount,positive,1
discovering,positive,1
disruption,negative,-1
distracting,negative,-1
drink,negative,-1
driver,neutral,0
drunk,negative,-1
failure,negative,-1
fare,negative,-1
fares,negative,-1
faulty,negative,-1
fined,negative,-1
fire,negative,-1
floods,negative,-1
forever,negative,-1
free,positive,1
full,negative,-1
futuristic,positive,1
grab,neutral,0
help,positive,1
honk,negative,-1
hospital,negative,-1
illegally,negative,-1
inconsistent,negative,-1
inconvenience,negative,-1
insulted,negative,-1
issue,negative,-1
jam,negative,-1
jammed,negative,-1
jerky,negative,-1
journey,neutral,0
killed,negative,-1
late,negative,-1
lol,positive,1
long,negative,-1
longer,negative,-1
loud,negative,-1
meter,negative,-1
metered ,negative,-1
missed,negative,-1
molesting,negative,-1
mrt,neutral,0
NEA,neutral,0
need,neutral,0
noise,negative,-1
nsfw,negative,-1
nutonomy,neutral ,0
nutonomys,neutral ,0
offered,positive,1
outdated,negative,-1
overdue,negative,-1
overrated,negative,-1
packed,negative,-1
postponed,negative,-1
price,negative,-1
problem,negative,-1
public,neutral,0
queue,negative,-1
risk,negative,-1
safe,positive,1
sbs,neutral,0
scheme,neutral,0
service,neutral,0
shuttles,neutral,0
slow,negative,-1
slooow,negative,-1
smile,positive,1
snail,negative,-1
staff,neutral,0
stop,negative,-1
stuck,negative,-1
surge,negative,-1
taxi,neutral,0
team,neutral,0
thanks,positive,1
tightening,negative,-1
time,neutral,0
traffic,negative,-1
wait,negative,-1
waited,negative,-1
waiting,negative,-1
warm,positive,1
warning,negative,-1
waste,negative,-1
wasted,negative,-1
lor,negative,-1
ironic,negative,-1
suspended,negative,-1
favourites,positive,1
hazard,negative,-1
extension-service,positive,1
extracurricular-activity,positive,1
alcohol-addiction,negative,-1
bad-condition,negative,-1
health-hazard,negative,-1
old-age,negative,-1
persistent-cruelty,negative,-1
poor-shape,negative,-1
sinking-spell,negative,-1
cut-off,positive,1
cut-away,positive,1
cut-back,positive,1
fever-gonedown,positive,1
take-action,positive,1
advance-directive,positive,1
all-hail,positive,1
all-right,positive,1
bill-ofhealth,positive,1
bounce-back,positive,1
care-delivery,positive,1
electrolyte-balance,positive,1
fat-farm,positive,1
feel-likeamillion,positive,1
feel-likeamilliondollars,positive,1
fountain-ofyouth,positive,1
fringe-benefit,positive,1
getover,positive,1
getwell,positive,1
goodforyou,positive,1
groupinsurance,positive,1
healthcare,positive,1
healthcheck,positive,1
healthcode,positive,1
healthfood,positive,1
healthinsurance,positive,1
healthphysics,positive,1
healthprofession,positive,1
healthspa,positive,1
herbalmedicine,positive,1
hotsprings,positive,1
insuredperson,positive,1
maltextract,positive,1
managed+care,positive,1
mentalbalance,positive,1
mentalsoundness,positive,1
newthought,positive,1
one-hundredpercent,positive,1
pineaway,positive,1
primaryhealthcare,positive,1
rehabilitationprogram,positive,1
sanitarycode,positive,1
sanitaryengineering,positive,1
taichi,positive,1
t_aichi,positive,1
taichichuan,positive,1
t_aichichuan,positive,1
veterinaryscience,positive,1
vichywater,positive,1
vitalsigns,positive,1
act-blur,negative,-1
act-cute,negative,-1
ah-beng,negative,-1
ah-lian,negative,-1
ah-long,negative,-1
ah-nei,negative,-1
ah-tiong,negative,-1
ai-see,negative,-1
ai-see-buay-see,negative,-1
ai-ya,negative,-1
ai-yah,negative,-1
a-tiong,negative,-1
a-tiong,negative,-1
baik-ah,positive,1
bo-bian,negative,-1
bo-doh,negative,-1
bo-jio,negative,-1
bo-leh,positive,1
bo-pien,negative,-1
bo-wei-kong,negative,-1
bo-zheng-hu,negative,-1
buay-lun,negative,-1
buay-pai,positive,1
buay-sai,negative,-1
buay-steady,negative,-1
buay-tahan,negative,-1
buey-lun,negative,-1
buey-pai,positive,1
buey-sai,negative,-1
buey-sai,negative,-1
buey-steady,negative,-1
buey-tahan,negative,-1
bu-soh,negative,-1
catch-no-ball,negative,-1
chee-bai,negative,-1
chee-bye,negative,-1
chicken-business,negative,-1
Chinese-helicopter,negative,-1
du-lan,negative,-1
earlier-never-say,negative,-1
eat-snake,negative,-1
geh-kiang,negative,-1
gone-case,negative,-1
guai-lan,negative,-1
gu-niang,negative,-1
hai-yah,negative,-1
han-nah,negative,-1
hao-lian,negative,-1
heng-ah,positive,1
hoe-mia,positive,1
ho-say,positive,1
ho-seh,positive,1
huat-ah,positive,1
jiak-chao,negative,-1
jiak-zua,negative,-1
kao-pei,negative,-1
kay-po,negative,-1
killer-litter,negative,-1
kuai-lan,negative,-1
kwai-lan,negative,-1
lan-jiao,negative,-1
lao-jiao,positive,1
liak-bo-kiu,negative,-1
na-bei,negative,-1
never-say-earlier,negative,-1
orh-hor,negative,-1
pai-say,negative,-1
pai-seh,negative,-1
pai-sey,negative,-1
pang-sai,negative,-1
pang-she,negative,-1
pek-chek,negative,-1
peng-san,negative,-1
shiok-man,positive,1
si-beh,negative,-1
si-bei,negative,-1
si-bey,negative,-1
tak-boleh-tahan,negative,-1
talk-cock,negative,-1
tio-bay-pio,positive,1
to-kong,positive,1
tok-tok,negative,-1
wah-biang,negative,-1
wah-kao,negative,-1
wah-lan,negative,-1
wah-piang,negative,-1
wa-kao,negative,-1
wa-lan,negative,-1
wa-lang,negative,-1
wa-piang,negative,-1
wa-yang,negative,-1
yah-lah,negative,-1
yan-dao,positive,1
yaya-papaya,negative,-1
zi-siao,negative,-1
at-ease,positive,1
at-peace,positive,1
disapprove-of,negative,-1
fed-up,negative,-1
grief-stricken,negative,-1
heart-stricken,negative,-1
heavy-hearted,negative,-1
hung-up,negative,-1
ill-at-ease,negative,-1
in-love,positive,1
mixed-up,negative,-1
on-edge,negative,-1
pissed-off,negative,-1
self-centred,negative,-1
self-confident,positive,1
self-conscious,positive,1
self-destructive,negative,-1
self-pity,negative,-1
self-satisfaction,positive,1
self-satisfied,positive,1
shook-up,negative,-1
sick-at-heart,negative,-1
uncared-for,negative,-1
woe-stricken,negative,-1
act-blur,negative,-1
act-cute,negative,-1
ah-beng,negative,-1
ah-lian,negative,-1
ah-long,negative,-1
ah-nei,negative,-1
ah-tiong,negative,-1
ai-see,negative,-1
ai-see-buay-see,negative,-1
ai-ya,negative,-1
ai-yah,negative,-1
a-tiong,negative,-1
a-tiong,negative,-1
baik-ah,positive,1
bo-bian,negative,-1
bo-doh,negative,-1
bo-jio,negative,-1
bo-leh,positive,1
bo-pien,negative,-1
bo-wei-kong,negative,-1
bo-zheng-hu,negative,-1
buay-lun,negative,-1
buay-pai,positive,1
buay-sai,negative,-1
buay-steady,negative,-1
buay-tahan,negative,-1
buey-lun,negative,-1
buey-pai,positive,1
buey-sai,negative,-1
buey-sai,negative,-1
buey-steady,negative,-1
buey-tahan,negative,-1
bu-soh,negative,-1
catch-no-ball,negative,-1
chee-bai,negative,-1
chee-bye,negative,-1
chicken-business,negative,-1
Chinese-helicopter,negative,-1
du-lan,negative,-1
earlier-never-say,negative,-1
eat-snake,negative,-1
geh-kiang,negative,-1
gone-case,negative,-1
guai-lan,negative,-1
gu-niang,negative,-1
hai-yah,negative,-1
han-nah,negative,-1
hao-lian,negative,-1
heng-ah,positive,1
hoe-mia,positive,1
ho-say,positive,1
ho-seh,positive,1
huat-ah,positive,1
jiak-chao,negative,-1
jiak-zua,negative,-1
kao-pei,negative,-1
kay-po,negative,-1
killer-litter,negative,-1
kuai-lan,negative,-1
kwai-lan,negative,-1
lan-jiao,negative,-1
lao-jiao,positive,1
liak-bo-kiu,negative,-1
na-bei,negative,-1
never-say-earlier,negative,-1
orh-hor,negative,-1
pai-say,negative,-1
pai-seh,negative,-1
pai-sey,negative,-1
pang-sai,negative,-1
pang-she,negative,-1
pek-chek,negative,-1
peng-san,negative,-1
shiok-man,positive,1
si-beh,negative,-1
si-bei,negative,-1
si-bey,negative,-1
tak-boleh-tahan,negative,-1
talk-cock,negative,-1
tio-bay-pio,positive,1
to-kong,positive,1
tok-tok,negative,-1
wah-biang,negative,-1
wah-kao,negative,-1
wah-lan,negative,-1
wah-piang,negative,-1
wa-kao,negative,-1
wa-lan,negative,-1
wa-lang,negative,-1
wa-piang,negative,-1
wa-yang,negative,-1
yah-lah,negative,-1
yan-dao,positive,1
yaya-papaya,negative,-1
zi-siao,negative,-1
at-ease,positive,1
at-peace,positive,1
disapprove-of,negative,-1
fed-up,negative,-1
grief-stricken,negative,-1
heart-stricken,negative,-1
heavy-hearted,negative,-1
hung-up,negative,-1
ill-at-ease,negative,-1
in-love,positive,1
mixed-up,negative,-1
on-edge,negative,-1
pissed-off,negative,-1
self-centred,negative,-1
self-confident,positive,1
self-conscious,positive,1
self-destructive,negative,-1
self-pity,negative,-1
self-satisfaction,positive,1
self-satisfied,positive,1
shook-up,negative,-1
sick-at-heart,negative,-1
uncared-for,negative,-1
woe-stricken,negative,-1
act-blur,negative,-1
act-cute,negative,-1
ah-beng,negative,-1
ah-lian,negative,-1
ah-long,negative,-1
ah-nei,negative,-1
ah-tiong,negative,-1
ai-see,negative,-1
ai-see-buay-see,negative,-1
ai-ya,negative,-1
ai-yah,negative,-1
a-tiong,negative,-1
a-tiong,negative,-1
baik-ah,positive,1
bo-bian,negative,-1
bo-doh,negative,-1
bo-jio,negative,-1
